id,student_id,date,status,remark,created_at
1730,717,2025-11-03,มา,,2025-11-03 09:31:26.117717+00
1731,718,2025-11-03,ลา,,2025-11-03 09:31:26.117717+00
1732,719,2025-11-03,มา,,2025-11-03 09:31:26.117717+00
1733,720,2025-11-03,มา,,2025-11-03 09:31:26.117717+00
1734,721,2025-11-03,มา,,2025-11-03 09:31:26.117717+00
1735,715,2025-11-03,ลา,,2025-11-03 09:31:26.117717+00
1026,758,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
1027,764,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
1028,765,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
1029,766,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
1030,767,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
1031,768,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
1032,769,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
1033,770,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
1034,759,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
875,697,2025-10-24,มา,,2025-10-24 16:20:29.306076+00
876,706,2025-10-24,มา,,2025-10-24 16:20:29.306076+00
877,707,2025-10-24,มา,,2025-10-24 16:20:29.306076+00
878,708,2025-10-24,ลา,,2025-10-24 16:20:29.306076+00
879,709,2025-10-24,มา,,2025-10-24 16:20:29.306076+00
880,710,2025-10-24,มา,,2025-10-24 16:20:29.306076+00
881,711,2025-10-24,มา,,2025-10-24 16:20:29.306076+00
882,712,2025-10-24,มา,,2025-10-24 16:20:29.306076+00
883,713,2025-10-24,ขาด,,2025-10-24 16:20:29.306076+00
884,714,2025-10-24,ลา,,2025-10-24 16:20:29.306076+00
885,698,2025-10-24,มา,,2025-10-24 16:20:29.306076+00
886,699,2025-10-24,ลา,,2025-10-24 16:20:29.306076+00
887,700,2025-10-24,มา,,2025-10-24 16:20:29.306076+00
888,701,2025-10-24,ลา,,2025-10-24 16:20:29.306076+00
889,702,2025-10-24,ขาด,,2025-10-24 16:20:29.306076+00
890,703,2025-10-24,ลา,,2025-10-24 16:20:29.306076+00
891,704,2025-10-24,มา,,2025-10-24 16:20:29.306076+00
892,705,2025-10-24,มา,,2025-10-24 16:20:29.306076+00
1035,771,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
1036,772,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
1037,773,2025-10-27,ขาด,,2025-10-27 09:18:00.704628+00
1038,774,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
1039,775,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
1040,760,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
1041,776,2025-10-27,ขาด,,2025-10-27 09:18:00.704628+00
1042,777,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
1043,778,2025-10-27,ลา,,2025-10-27 09:18:00.704628+00
1044,779,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
1045,780,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
904,717,2025-10-24,มา,,2025-10-24 16:22:57.353452+00
905,718,2025-10-24,มา,,2025-10-24 16:22:57.353452+00
906,719,2025-10-24,มา,,2025-10-24 16:22:57.353452+00
907,720,2025-10-24,ขาด,,2025-10-24 16:22:57.353452+00
908,721,2025-10-24,มา,,2025-10-24 16:22:57.353452+00
909,715,2025-10-24,ขาด,,2025-10-24 16:22:57.353452+00
911,723,2025-10-24,ขาด,,2025-10-24 16:22:57.353452+00
912,724,2025-10-24,ขาด,,2025-10-24 16:22:57.353452+00
913,725,2025-10-24,ขาด,,2025-10-24 16:22:57.353452+00
914,716,2025-10-24,ขาด,,2025-10-24 16:22:57.353452+00
814,749,2025-10-24,มา,,2025-10-24 16:20:03.084679+00
815,742,2025-10-24,มา,,2025-10-24 16:20:03.084679+00
816,738,2025-10-24,มา,,2025-10-24 16:20:03.084679+00
817,741,2025-10-24,มา,,2025-10-24 16:20:03.084679+00
818,739,2025-10-24,มา,,2025-10-24 16:20:03.084679+00
1046,781,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
1047,782,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
1048,783,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
1049,784,2025-10-27,มา,,2025-10-27 09:18:00.704628+00
1821,758,2025-11-05,มา,,2025-11-05 09:14:34.289719+00
976,697,2025-10-27,มา,,2025-10-27 09:13:01.390379+00
1822,764,2025-11-05,ลา,,2025-11-05 09:14:34.289719+00
1823,765,2025-11-05,ขาด,,2025-11-05 09:14:34.289719+00
1824,766,2025-11-05,มา,,2025-11-05 09:14:34.289719+00
1825,767,2025-11-05,มา,,2025-11-05 09:14:34.289719+00
1826,768,2025-11-05,มา,,2025-11-05 09:14:34.289719+00
1827,769,2025-11-05,มา,,2025-11-05 09:14:34.289719+00
1828,770,2025-11-05,มา,,2025-11-05 09:14:34.289719+00
1829,759,2025-11-05,มา,,2025-11-05 09:14:34.289719+00
1830,771,2025-11-05,ลา,,2025-11-05 09:14:34.289719+00
1831,772,2025-11-05,ขาด,,2025-11-05 09:14:34.289719+00
819,733,2025-10-24,มา,,2025-10-24 16:20:03.084679+00
820,755,2025-10-24,มา,,2025-10-24 16:20:03.084679+00
821,754,2025-10-24,มา,,2025-10-24 16:20:03.084679+00
822,743,2025-10-24,มา,,2025-10-24 16:20:03.084679+00
823,728,2025-10-24,มา,,2025-10-24 16:20:03.084679+00
824,745,2025-10-24,มา,,2025-10-24 16:20:03.084679+00
825,747,2025-10-24,มา,,2025-10-24 16:20:03.084679+00
826,735,2025-10-24,มา,,2025-10-24 16:20:03.084679+00
